Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
240-Sikandra (SC) [38-Jamui],69A,69 U.M.S MAHNA N. PART,A,543,1081,24.93507,85.954166,yes,yes,yes
240-Sikandra (SC) [38-Jamui],70,70 U.M.S MARKAMA N.PART,M,1,547,24.915866,85.966448,yes,yes,yes
240-Sikandra (SC) [38-Jamui],70A,70 U.M.S MARKAMA S. PART,A,548,1056,24.91564,85.966932,yes,yes,yes
240-Sikandra (SC) [38-Jamui],71,71 MAKTAB MARKAMA,M,1,636,24.919644,85.965997,yes,yes,yes
240-Sikandra (SC) [38-Jamui],72,72 M.S SONKHAR N. PART,M,1,834,24.947902,85.925996,yes,yes,yes
240-Sikandra (SC) [38-Jamui],73,73 M.S SONKHAR S. PART,M,1,941,24.947743,85.925898,yes,yes,yes
240-Sikandra (SC) [38-Jamui],74,74 TAHSHIL KACAHRI N. PART ALIGANJ,M,1,974,24.945181,85.92593,yes,yes,yes
240-Sikandra (SC) [38-Jamui],75,75 TASHIL KACAHRI S. PART ALIGANJ,M,1,886,24.951261,85.929816,yes,yes,yes
240-Sikandra (SC) [38-Jamui],76,76 MAKTAB ALIGANJ N.PART,M,1,950,24.93999,85.926669,yes,yes,yes
240-Sikandra (SC) [38-Jamui],77,77 M.S ALIGANJ N. PART,M,1,574,24.93684,85.92518,yes,yes,yes
240-Sikandra (SC) [38-Jamui],77A,77 M.S ALIGANJ M. PART,A,575,1181,24.93683,85.925075,yes,yes,yes
240-Sikandra (SC) [38-Jamui],78,78 M.S ALIGANJ S. PART,M,1,992,24.936833,85.925172,yes,yes,yes
240-Sikandra (SC) [38-Jamui],79,79 N.P.S AVASTHIT MANPUR ALIGANJ LEFT PART,M,1,888,24.936961,85.925247,yes,yes,yes
240-Sikandra (SC) [38-Jamui],80,80 N.P.S AVASTHIT MANPUR ALIGANJ RIGHT PART,M,1,902,24.936165,85.925126,yes,yes,yes
240-Sikandra (SC) [38-Jamui],81,81 U.M.S MAGROHAR,M,1,657,24.925965,85.883967,yes,yes,yes
240-Sikandra (SC) [38-Jamui],82,82 P.S TETARIYA,M,1,800,24.924533,85.88024,yes,yes,yes
240-Sikandra (SC) [38-Jamui],83,83 M.S. DHARMPUR,M,1,807,24.927404,85.892792,yes,yes,yes
240-Sikandra (SC) [38-Jamui],84,84 M.S JHANJHRI,M,1,604,24.933945,85897281,yes,yes,yes
240-Sikandra (SC) [38-Jamui],85,85 M.S HABUNAGAR E.PART,M,1,648,24.922781,85.911761,yes,yes,yes
240-Sikandra (SC) [38-Jamui],85A,85 M.S HABUNAGAR W. PART,A,649,1269,24.91406,85.912081,yes,yes,yes
240-Sikandra (SC) [38-Jamui],86,86 M.S ISLAMNAGAR E. PART,M,1,534,24.943195,85.90953,yes,yes,yes
240-Sikandra (SC) [38-Jamui],86A,86 M.S ISLAMNAGAR M. PART,A,535,1067,24.94296,85.909692,yes,yes,yes
240-Sikandra (SC) [38-Jamui],87,87 M.S ISLAMNAGAR S. PART,M,1,845,24.942932,85.909934,yes,yes,yes
240-Sikandra (SC) [38-Jamui],88,88 M.S ISLAMNAGR N. PART,M,1,685,24.942908,85.909736,yes,yes,yes
240-Sikandra (SC) [38-Jamui],89,89 SHAIKSHNIK KARMSHALA BHAWAN MUSHARI TOLA ISLAMNAGAR,M,1,660,24.940265,85.913249,yes,Yes,yes
240-Sikandra (SC) [38-Jamui],89A,89 (A) ANGANWADI KENDRA NO.153 ISLAMNAGAR,A,661,1338,24.94024,85.913451,yes,yes,yes
240-Sikandra (SC) [38-Jamui],90,90 U.M.S KHARAGPUR S. PART,M,1,564,24.907235,85.883345,yes,yes,yes
240-Sikandra (SC) [38-Jamui],90A,90 U.M.S KHARAGPUR N. PART,A,565,1107,24.90724,85.883324,yes,yes,yes
240-Sikandra (SC) [38-Jamui],91,91 U.M.S BEGWA,M,1,223,24.90626,85.88,yes,yes,yes
240-Sikandra (SC) [38-Jamui],92,92 U.M.S BHALUANA W. PART,M,1,854,24.904258,85.893421,yes,yes,yes
240-Sikandra (SC) [38-Jamui],93,93 U.M.S BHALUANA E. PART,M,1,808,24.904319,85.893319,yes,yes,yes
240-Sikandra (SC) [38-Jamui],94,94 P.S KODWARIYA N.PART,M,1,423,24.911389,85.898827,yes,yes,yes
240-Sikandra (SC) [38-Jamui],94A,94 P.S KODWARIYA S. PART,A,424,1110,24.91283,85.901194,yes,yes,yes
240-Sikandra (SC) [38-Jamui],95,95 M.S HILSA KODWARIYA N. PART,M,1,834,24.92174,85.905465,yes,yes,yes
240-Sikandra (SC) [38-Jamui],96,96 M.S HILSA KODWARIYA S. PART,M,1,769,24.921715,85.905433,yes,yes,yes
240-Sikandra (SC) [38-Jamui],97,97 P.S RAMSAGAR,M,1,603,24.918229,8580,yes,yes,yes
240-Sikandra (SC) [38-Jamui],98,98 U.M.S ITABANDH E. PART,M,1,509,24.91605,85.913875,yes,yes,yes
240-Sikandra (SC) [38-Jamui],98A,98 U.M.S ITABANDH W.PART,A,510,1034,24.91609,85.913881,yes,yes,yes
240-Sikandra (SC) [38-Jamui],99,99 U.M.S PURSANDA E. PART,M,1,531,24.924125,85.933032,yes,yes,yes
240-Sikandra (SC) [38-Jamui],99A,99 U.M.S PURSANDA M. PART,A,532,1114,24.92416,85.933059,yes,yes,yes
240-Sikandra (SC) [38-Jamui],100,100 U.M.S PURSANDA W. PART,M,1,502,24.924038,85.933168,yes,yes,yes
240-Sikandra (SC) [38-Jamui],100,100 U.M.S PURSANDA S. PART,A,503,1010,24.92407,85.933204,yes,yes,yes
240-Sikandra (SC) [38-Jamui],101,101 U.M.S SUNDER BAD,M,1,417,24.9225,85.923873,yes,yes,yes
240-Sikandra (SC) [38-Jamui],102,102 U.M.S BALADIH W. PART,M,1,650,24.928232,85.965445,yes,yes,yes
240-Sikandra (SC) [38-Jamui],102A,102 U.M.S BALADIH E. PART,A,651,1303,24.92833,85.965431,yes,yes,yes
240-Sikandra (SC) [38-Jamui],103,103 U.M.S MAHMDPUR W.PART,M,1,624,24.923017,85.94,yes,yes,yes
240-Sikandra (SC) [38-Jamui],103A,103 U.M.S MAHMDPUR E. PART,A,625,1248,24.92278,85.965431,yes,yes,yes
240-Sikandra (SC) [38-Jamui],104,104 U.M.S GAHLAUR N PART,M,1,537,24.911908,85.957978,yes,yes,yes
240-Sikandra (SC) [38-Jamui],104A,104 U.M.S GAHLAUR S. PART,A,538,1064,24.91189,85.957902,yes,yes,yes
240-Sikandra (SC) [38-Jamui],105,105 P.S RADHANAGAR,M,1,656,24.913538,85.957808,yes,yes,yes
240-Sikandra (SC) [38-Jamui],106,106 U.M.S RISHIDIH,M,1,892,24.903659,85.970684,yes,yes,yes
240-Sikandra (SC) [38-Jamui],107,UTKRAMIT MADHYA VIDHYALYA AKAUNI (PAKSHAMI BHAG),M,1,525,24.976768,85.981418,Yes,Yes,Yes
240-Sikandra (SC) [38-Jamui],107 (A),UTKRAMIT MADHYA VIDHYALYA AKAUNI (PURVI BHAG),A,526,1063,24.976768,85.981418,Yes,Yes,Yes
