Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
105-Siwan [16-Siwan],042,Utkramit Madhya Vidyalay Sundri Baya Bhag Uttar,Main,1,588,26.333775,84.404456,Yes,Yes,Yes
105-Siwan [16-Siwan],042,Utkramit Madhya Vidyalay Sundri Baya Bhag Dakshin,Auxiliary,589,,26.332587,84.407885,Yes,Yes,Yes
105-Siwan [16-Siwan],043,Prathamik Vidyalay Sundarpur Baya Bhag,Main,1,636,26.323911,84.401753,Yes,Yes,Yes
105-Siwan [16-Siwan],043,Prathamik Vidyalay sundarpur Daya Bhag,Auxiliary,637,,26.323842,84.401662,Yes,Yes,Yes
105-Siwan [16-Siwan],044,Samudayik Bhawan Pranpur,Main,1,932,26.336284,84.419729,Yes,Yes,Yes
105-Siwan [16-Siwan],045,Utkramit Madhya Vidyalay Mathurapur Baya Bhag,Main,1,774,26.316029,84.399563,Yes,Yes,Yes
105-Siwan [16-Siwan],046,Utkramit Madhya Vidyalay mathurapur Daya bhag,Main,1,865,26.316013,84.399614,Yes,Yes,Yes
105-Siwan [16-Siwan],047,Utkramit Madhya Vidyalay Pakwaliya Paschmi Bhag Baya,Main,1,699,26.314264,84.402,Yes,Yes,Yes
105-Siwan [16-Siwan],047,Utkramit Madhya Vidyalay Pakwaliya Paschmi Bhag Daya,Auxiliary,700,,26.315937,84.397731,Yes,Yes,Yes
105-Siwan [16-Siwan],048,Utkramit Madhya Vidyalay pakavaliyan Purab Bhag Baya,Main,1,638,26.31594,84.407253,Yes,Yes,Yes
105-Siwan [16-Siwan],048,Utkramit Madhya Vidyalay Pakwaliya Purab Bhag Daya,Auxiliary,639,,26.314264,84.402,Yes,Yes,Yes
105-Siwan [16-Siwan],049,Madhya Vidyalay hathigai daya Bhag purab,Main,1,561,26.309511,84.412178,Yes,Yes,Yes
105-Siwan [16-Siwan],049,Madhya Vidyalay Hthigai Daya Bhag Paschim,Auxiliary,562,,26.309905,84.412835,Yes,Yes,Yes
105-Siwan [16-Siwan],050,Madhwa Vidyalay hathigai Baya bhag Purab,Main,1,573,26.309511,84.412178,Yes,Yes,Yes
105-Siwan [16-Siwan],050,Madhwa Vidyalay Hathigai Baya Bhag Paschim,Auxiliary,574,,26.309511,84.412178,Yes,Yes,Yes
105-Siwan [16-Siwan],051,Panchayat Bhawan Laowan Baya Bhag,Main,1,906,26.307135,84.423038,Yes,Yes,Yes
105-Siwan [16-Siwan],052,pncgayt bhvan lauwan daya bhag,Main,1,755,26.307135,84.423038,Yes,Yes,Yes
105-Siwan [16-Siwan],053,Prathamik Vidyalay Lauwan Baya Bhag,Main,1,480,26.30448,84.43417,Yes,Yes,Yes
105-Siwan [16-Siwan],053,Prathamik Vidyalay Lauwan Daya Bhag,Auxiliary,481,,26.30448,84.43417,Yes,Yes,Yes
105-Siwan [16-Siwan],054,Utkramit Madhya Vidhyalay balachnd Hata Baya Bhag,Main,1,729,26.289321,84.389972,Yes,Yes,Yes
105-Siwan [16-Siwan],054,Utkramit Madhya Vidhyalay balachnd Hata Daya Bhag,Auxiliary,730,,26.289321,84.389972,Yes,Yes,Yes
105-Siwan [16-Siwan],055,Madhya Vidhyalay Baletha Uttar Bhag Baya,Main,1,672,26.302811,84.381951,Yes,Yes,Yes
105-Siwan [16-Siwan],055,Madhya Vidhyalay Baletha Uttar Bhag Daya,Auxiliary,673,,26.302811,84.381951,Yes,Yes,Yes
105-Siwan [16-Siwan],056,Madhya Vidhyalay Baletha Dakshin Bhag Baya,Main,1,655,26.302756,84.381938,Yes,Yes,Yes
105-Siwan [16-Siwan],056,Madhya Vidhyalay Baletha Dakshin Bhag Daya,Auxiliary,656,,26.302756,84.381938,Yes,Yes,Yes
105-Siwan [16-Siwan],057,Samudayik Bhawan Baletha purab bhag,Main,244,704,26.292094,84.398809,Yes,Yes,Yes
105-Siwan [16-Siwan],,,,1109,1178,,,Yes,Yes,Yes
105-Siwan [16-Siwan],057,Samudayik Bhawan Baletha been toli,Auxiliary,1,243,26.292094,84.398809,Yes,Yes,Yes
105-Siwan [16-Siwan],,,,705,,,,Yes,Yes,Yes
105-Siwan [16-Siwan],058,Samudayik Bhawan Baletha Paschim Bhag,Main,1,551,26.292075,84.39885,Yes,Yes,Yes
105-Siwan [16-Siwan],058,Prathmik Vidhyalay Baletha Kurmi Hata,Auxiliary,552,,26.292075,84.39885,Yes,Yes,Yes
105-Siwan [16-Siwan],059,Utkramit Madhya Vidhyalay mahuaari Daya Bhag Purab,Main,1,604,26.319886,84.369985,Yes,Yes,Yes
105-Siwan [16-Siwan],059,Utkramit Madhya Vidhyalay mahuaari Daya Bhag Paschim,Auxiliary,605,,26.319886,84.369985,Yes,Yes,Yes
105-Siwan [16-Siwan],060,Utkramit Madhya Vidhyalay mauaari Baya Bhag Purab,Main,1,532,26.317104,84.371127,Yes,Yes,Yes
105-Siwan [16-Siwan],060,Utkramit Madhya Vidhyalay mahuaari Baya Bhag Paschim,Auxiliary,533,,26.317104,84.371127,Yes,Yes,Yes
105-Siwan [16-Siwan],061,Panchayat Bhawan bhdaura,Main,1,946,26.30778,84.375996,Yes,Yes,Yes
105-Siwan [16-Siwan],062,Utkramit Madhya Vidhyalay molanapur Daya Bhag,Main,1,872,26.305277,84.372394,Yes,Yes,Yes
105-Siwan [16-Siwan],063,Utkramit Madhya Vidhyalay molanapur Baya Bhag,Main,1,796,26.305277,84.372395,Yes,Yes,Yes
105-Siwan [16-Siwan],064,Utkramit Madhya Vidhyalay ramapur,Main,1,941,26.289979,84.376191,Yes,Yes,Yes
105-Siwan [16-Siwan],065,Prathamik vidhyalay mirapur urdu Baya Bhag,Main,1,728,26.292335,84.366771,Yes,Yes,Yes
105-Siwan [16-Siwan],065,Prathamik Vidhyalay Mirapur Urdu Daya Bhag,Auxiliary,729,,26.292335,84.366771,Yes,Yes,Yes
105-Siwan [16-Siwan],066,Utkramit madhay vidhyalay nathu chhap Daya Bhag,Main,1,984,26.301586,84.365496,Yes,Yes,Yes
105-Siwan [16-Siwan],067,Utkramit Madhya Vidhyalay nathuchhap Baya Bhag Purab,Main,1,521,26.301545,84.36551,Yes,Yes,Yes
105-Siwan [16-Siwan],067,Utkramit Madhya Vidhyalay nathuchhap Baya Bhag Paschim,Auxiliary,522,,26.301545,84.36551,Yes,Yes,Yes
105-Siwan [16-Siwan],068,Samudayik Bhawan mahammdpur Baya Bhag,Main,1,585,26.285875,84.363778,Yes,Yes,Yes
105-Siwan [16-Siwan],068,Samudayik Bhawan Mahammadpur Daya Bhag,Auxiliary,586,,26.285875,84.363778,Yes,Yes,Yes
105-Siwan [16-Siwan],069,Utkramit Madhya Vidhyalay Vishunpur Hindi Baya Bhag,Main,1,531,26.285003,84.368794,Yes,Yes,Yes
105-Siwan [16-Siwan],069,Utkramit Madhya Vidhyalay vishunpur Hindi Daya Bhag,Auxiliary,532,,26.285003,84.368794,Yes,Yes,Yes
